time,ethylbenzene_amean,isoprene_amean,x2_2_4_trimethylpentane_amean,x1_2_3_trimethylbenzene_amean,x1_3_5_trimethylbenzene_amean,n_heptane_amean,m_p_xylene_amean,toluene_amean,n_octane_amean,o_xylene_amean,benzene_amean,x1_2_4_trimethylbenzene_amean
09-Jul-2015 09:59:45,NaN,163.064,1.693,41.478,NaN,47.212,NaN,282.756,43.287,NaN,73.894,113.68
14-Jul-2015 09:59:45,NaN,414.127,NaN,12.65,NaN,49.612,NaN,80.09,86.044,NaN,145.633,16.998
15-Jul-2015 00:00:00,NaN,173.972,6.044,34.435,NaN,66.607,NaN,515.463,88.337,NaN,164.701,109.125
16-Jul-2015 09:59:45,NaN,542.032,5.877,23.42,28.421,70.051,NaN,478.676,61.483,NaN,120.839,66.643
17-Jul-2015 00:00:00,NaN,164.794,NaN,36.986,56.046,53.87,NaN,377.832,53.74,NaN,89.755,103.971
21-Jul-2015 09:59:45,NaN,445.973,NaN,20.108,11.913,62.866,NaN,139.163,144.64,NaN,50.371,41.069
22-Jul-2015 00:00:00,NaN,125.709,2.652,63.836,98.971,98.799,NaN,634.9,96.13,NaN,191.82,191.234
23-Jul-2015 09:59:45,NaN,163.867,NaN,20.477,15.868,41.494,NaN,182.388,40.562,NaN,86.027,51.216
24-Jul-2015 00:00:00,NaN,80.177,0.408,17.1,20.87,36.899,NaN,228.926,33.259,NaN,84.572,53.969
19-Nov-2015 11:00:14,2.174,43.958,NaN,8.384,11.556,16.773,33.299,182.987,11.337,NaN,206.793,43.241
20-Nov-2015 00:59:45,12.064,22.628,NaN,3.82,2.777,12.451,66.417,77.438,11.189,22.141,186.663,12.276
24-Nov-2015 11:00:14,36.468,54.032,NaN,70.731,93.915,19.615,90.778,274.127,19.598,30.615,322.426,171.459
25-Nov-2015 00:59:45,35.643,23.656,NaN,25.555,NaN,21.333,73.011,148.639,12.411,28.794,221.831,83.076
26-Nov-2015 11:00:14,NaN,39.951,NaN,1.679,23.949,20.119,35.016,184.581,NaN,NaN,210.752,38.883
27-Nov-2015 00:59:45,NaN,24.15,NaN,NaN,1.029,21.948,68.672,96.043,6.027,24.677,197.813,NaN
01-Dec-2015 14:00:14,44.936,NaN,2.174,8.868,18.136,22.843,185.731,266.487,54.595,56.899,261.058,36.265
02-Dec-2015 00:59:45,58.727,1.723,3.439,7.82,12.528,22.384,202.861,293.222,9.529,53.96,261.209,28.744
03-Dec-2015 11:00:14,65.547,2.919,9.843,15.479,29.232,30.802,213.618,385.392,39.031,63.119,359.854,76.694
04-Dec-2015 00:59:45,54.499,NaN,4.871,7.471,13.951,20.912,172.74,260.317,33.356,52.453,366.488,39.077
08-Dec-2015 11:00:14,54.054,0.025,3.781,16.148,17.484,19.205,188.814,234.84,55.74,52.674,368.65,44.761
09-Dec-2015 00:59:45,32.831,1.095,1.754,NaN,7.096,14.643,140.841,153.847,5.937,33.995,280.822,5.306
15-Dec-2015 11:00:14,77.79,NaN,7.629,33.814,34.152,27.873,248.192,268.706,46.249,76.546,420.853,102.343
16-Dec-2015 00:59:45,34.602,NaN,NaN,18.315,12.475,13.35,128.338,120.354,27.32,38.741,357.259,42.281
17-Dec-2015 11:00:14,51.382,NaN,11.003,20.825,19.229,29.963,165.642,316.505,18.389,55.22,406.242,53.056
18-Dec-2015 00:59:45,50.12,NaN,1.701,8.887,12.11,20.615,178.171,187.432,25.241,53.879,378.561,30.87
23-Dec-2015 00:59:45,13.973,NaN,NaN,14.813,15.272,37.532,74.224,126.603,146.338,16.088,183.762,45.872
31-Dec-2015 11:00:14,58.898,NaN,NaN,27.057,28.038,53.004,301.396,271.88,37.129,59.016,705.079,79.24
01-Jan-2016 00:59:45,61.492,NaN,1.059,25.004,22.763,27.877,202.529,309.305,22.292,50.119,542.636,74.862
05-Jan-2016 11:00:14,5.182,1.789,NaN,5.753,3.837,8.257,18.868,55,9.759,1.585,299.15,9.804
06-Jan-2016 00:59:45,14.171,NaN,NaN,9.658,7.445,13.643,48.685,85.005,18.246,12.932,371.7,13.482
08-Jan-2016 11:00:14,127.008,81.454,32.087,22.375,47.348,63.472,348.577,597.855,45.727,111.53,642.295,87.464
09-Jan-2016 00:59:45,71.608,0.806,9.671,10.672,23.296,31.068,203.925,288.138,24.419,61.943,545.563,55.034
12-Jan-2016 11:00:14,67.798,12.452,9.4,5.913,15.498,27.956,221.686,275.366,21.81,71.091,376.583,33.122
13-Jan-2016 00:59:45,48.733,2.947,1.179,2.475,7.967,17.078,147.567,96.769,17.349,51.494,332.262,13.063
14-Jan-2016 11:00:14,46.643,4.17,7.817,4.732,11.298,26.327,133.629,187.839,29.874,42.579,402.807,31.456
15-Jan-2016 00:59:45,37.382,6.902,5.169,5.934,11.98,25.207,97.159,137.935,20.974,31.562,358.603,20.57
19-Jan-2016 11:00:14,242.769,67.802,100.643,40.873,111.298,113.481,706.671,1180.828,66.145,249.548,849.599,202.068
20-Jan-2016 00:59:45,187.247,23.482,41.578,26.733,73.532,91.069,526.842,795.284,53.434,186.372,814.809,159.077
22-Jan-2016 11:00:14,109.786,21.678,15.578,17.19,38.608,39.768,292.295,406.951,29.788,90.021,620.202,85.615
23-Jan-2016 00:59:45,71.88,8.769,5.615,12.535,21.585,29.606,195.057,231.971,37.954,57.065,421.707,39.879
26-Jan-2016 11:00:14,52.356,28.866,6.769,11.793,16.876,26.629,146.321,239.389,26.729,45.732,329.6,36.316
27-Jan-2016 00:59:45,29.222,2.443,3.071,NaN,9.58,16.117,97.348,119.207,15.613,32.693,266.674,25.459
28-Jan-2016 11:00:14,100.698,11.302,35.672,18.179,45.347,58.278,301.223,514.936,45.186,94.62,469.036,83.314
29-Jan-2016 00:59:45,71.132,2.927,8.517,10.84,23.425,33.967,195.566,370.64,25.376,58.699,530.201,51.891
02-Feb-2016 11:00:14,29.151,21.665,2.683,NaN,11.079,15.706,83.838,109.046,16.363,27.774,291.263,21.646
03-Feb-2016 00:59:45,38.951,3.392,0.945,NaN,8.91,20.228,107.139,153.609,16.061,31.746,362.449,22.159
05-Feb-2016 11:00:14,42.478,2.724,2.344,NaN,14.222,19.327,117.181,157.194,14.963,NaN,386.363,32.813
06-Feb-2016 00:59:45,4.292,NaN,NaN,NaN,NaN,1.035,NaN,NaN,4.26,NaN,18.408,NaN
09-Feb-2016 11:00:14,4.951,NaN,NaN,NaN,3.65,NaN,11.498,NaN,21.119,9.567,NaN,16.641
10-Feb-2016 00:59:45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11-Feb-2016 11:00:14,24.482,NaN,NaN,NaN,7.628,7.962,60.351,NaN,33.581,22.032,137.563,26.983
16-Feb-2016 11:00:14,142.849,15.894,20.586,17.525,44.797,65.413,394.557,611.284,72.059,137.102,463.932,107.685
17-Feb-2016 00:59:45,251.343,14.773,93.6,38.701,6.115,122.021,644.88,1169.792,106.567,231.096,845.928,200.676
18-Feb-2016 11:00:14,70.592,184.911,6.877,14.284,14.093,38.687,167.014,296.152,75.286,57.383,524.617,33.988
19-Feb-2016 00:59:45,59.786,7.118,2.884,11.066,17.712,34.938,156.053,208.644,50.336,51.482,438.652,41.199
23-Feb-2016 11:00:14,61.386,17.957,8.646,10.306,21.331,29.684,158.867,214.472,53.607,54.887,330.808,58.506
24-Feb-2016 00:59:45,142.997,13.076,26.98,25.73,53.107,67.639,362.339,651.024,86.763,130.737,475.452,116.861
24-Feb-2016 11:00:14,132.602,9.276,24.795,16.702,48.994,57.027,340.039,511.584,123.37,127.001,507.741,132.673
25-Feb-2016 00:59:45,101.378,2.684,9.367,19.919,34.562,49.119,259.158,375.931,73.947,90.691,539.046,89.097
01-Mar-2016 11:00:14,79.049,177.57,3.27,NaN,11.306,29.623,190.043,313.006,46.007,74.441,390.656,41.53
02-Mar-2016 00:59:45,59.978,1.144,0.185,6.129,13.482,19.769,156.019,151.823,48.537,61.609,363.907,42.174
03-Mar-2016 11:00:14,42.132,36.15,5.253,12.502,15.153,23.647,104.049,166.984,53.373,38.43,442.874,29.168
04-Mar-2016 00:59:45,61.26,4.573,2.671,NaN,14.164,28.356,141.655,207.072,62.423,46.904,520.799,42.662
08-Mar-2016 11:00:14,42.252,NaN,2.602,6.402,7.241,16.451,107.009,178.154,38.951,31.422,445.13,21.535
09-Mar-2016 00:59:45,62.159,243.545,4.323,16.742,23.152,41.483,152.598,296.488,54.493,50.331,385.768,46.215
15-Mar-2016 11:00:14,180.471,8.881,52.119,29.673,74.826,82.805,505.708,748.978,58.964,177.67,564.811,149.233
16-Mar-2016 00:59:45,81.42,10.339,12.409,12.435,22.082,31.875,194.054,304.639,34.319,60.359,438.123,59.585
17-Mar-2016 11:00:14,136.725,53.803,20.491,20.554,37.46,62.336,339.539,592.197,70.557,113.211,719.17,82.567
18-Mar-2016 00:59:45,194.384,3.208,27.305,26.962,1.594,75.643,497.178,702.955,63.536,190.243,851.956,116.934
24-Mar-2016 00:59:45,40.452,NaN,NaN,NaN,20.67,7.512,138.696,225.92,52.517,40.055,491.759,59.669
24-Mar-2016 11:00:14,20.354,NaN,NaN,NaN,NaN,5.507,62.613,174.703,41.286,17.294,511.943,16.723
25-Mar-2016 00:59:45,18.518,NaN,NaN,NaN,1.485,4.084,69.476,180.626,50.219,18.892,664.849,16.282
29-Mar-2016 09:59:45,4.73,NaN,NaN,NaN,NaN,NaN,51.134,50.073,9.384,8.805,281.496,NaN
30-Mar-2016 00:00:00,1.265,NaN,NaN,NaN,NaN,NaN,34.268,77.809,25.24,3.028,358.657,NaN
01-Apr-2016 09:59:45,137.914,11.103,NaN,7.237,22.333,53.051,395.708,506.923,37.901,137.733,500.959,73.191
02-Apr-2016 00:00:00,46.055,NaN,NaN,NaN,NaN,10.612,159.358,203.277,21.327,50.477,477.527,20.558
05-Apr-2016 09:59:45,94.201,NaN,NaN,NaN,18.899,19.222,218.558,326.485,33.474,62.153,426.988,45.222
06-Apr-2016 00:00:00,22.726,NaN,NaN,NaN,NaN,15.954,77.628,166.87,19.536,18.482,385.687,9.319
08-Apr-2016 09:59:45,33.494,NaN,NaN,NaN,NaN,3.879,147.279,159.331,21.258,47.065,388.31,1.455
09-Apr-2016 00:00:00,44.212,NaN,NaN,NaN,NaN,17.129,158.886,216.902,31.031,46.458,513.106,8.958
12-Apr-2016 09:59:45,460.479,NaN,NaN,NaN,NaN,10.825,1514.586,237.309,17.267,574.778,366.89,13.063
13-Apr-2016 00:00:00,446.148,NaN,NaN,NaN,NaN,32.721,1378.031,364.484,26.249,518.387,448.747,29.898
14-Apr-2016 09:59:45,0.123,NaN,NaN,NaN,NaN,NaN,55.449,86.265,NaN,9.653,229.207,NaN
15-Apr-2016 00:00:00,8.147,NaN,NaN,NaN,NaN,NaN,58.963,76.845,14.111,13.657,89.021,3.17
19-Apr-2016 09:59:45,864.518,0.506,45.098,10.152,36.264,48.785,2667.246,752.186,21.738,993.745,352.266,113.946
20-Apr-2016 00:00:00,346.733,NaN,NaN,NaN,NaN,7.625,1161.332,278.709,5.285,412.882,312.557,28.168
21-Apr-2016 09:59:45,685.237,NaN,NaN,NaN,5.369,50.888,2147.624,455.074,53.326,826.941,314.715,61.125
22-Apr-2016 00:00:00,610.733,NaN,NaN,5.796,34.825,51.995,1909.861,561.894,45.609,718.763,365.366,116.099
26-Apr-2016 09:59:45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.191,7.615,NaN,58.03,NaN
27-Apr-2016 00:00:00,274.39,NaN,NaN,NaN,NaN,3.076,987.155,95.102,15.842,351.588,151.082,NaN
28-Apr-2016 09:59:45,410.007,NaN,NaN,NaN,NaN,NaN,1481.209,73.27,NaN,537.237,145.393,NaN
29-Apr-2016 00:00:00,496.326,NaN,NaN,NaN,NaN,NaN,1742.459,120.832,NaN,636.684,198.868,NaN
03-May-2016 09:59:45,45.697,NaN,NaN,NaN,NaN,11.017,182.676,236.943,3.227,54.217,266.856,13.709
